message,label,window_id,window_label,channel,delta_ms,intent_offer,intent_rep,intent_redirect,intent_instruction,intent_payment,intent_anchor,funnel_step_index,funnel_sequence_score,funnel_full_chain,funnel_partial_chain,rule_hits,similarity_hits,behavior_hits,trend_hits,funnel_hits,ai_hits,pushes_external_platform,demands_upfront_payment,requests_sensitive_data,claims_middleman_without_proof,too_good_to_be_true,repeated_contact_attempts,is_spam,asks_for_stuff,advertising,hard_negative,sample_weight
im in hsb,1,speaker-c49e0770766b01e1:9837589,1,public,6857,0,0,0,0,0,1,2,14.0000,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1.2000
go to slayer carries channel,1,speaker-c49e0770766b01e1:9837589,1,public,27768,0,0,1,1,0,0,3,20.0000,0,1,1,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0,1.2000
and do rep player t4 eman,1,speaker-c49e0770766b01e1:9837590,1,public,13214,0,1,0,1,0,0,4,28.0000,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1.3300
want me to max ur armor after this,1,speaker-c49e0770766b01e1:9837595,1,public,0,0,0,1,0,0,0,0,0.0000,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0000
can you talk to me in a voice channel for a bit,1,speaker-c49e0770766b01e1:9837595,1,public,8375,0,0,1,0,0,0,0,0.0000,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1.0000
that would be very nice,1,speaker-c49e0770766b01e1:9837595,1,public,4716,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0000
well then you will not get your stuff back,1,speaker-c49e0770766b01e1:9837595,1,public,4049,0,0,0,0,0,0,0,0.0000,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1.0800
just one player,1,speaker-c49e0770766b01e1:9837595,1,public,4008,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1.0800
come on,1,speaker-c49e0770766b01e1:9837595,1,public,2561,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1.0800
anyone eman carry,0,speaker-b23a6a8439c0dde5:9837640,0,public,0,1,0,0,0,0,0,1,0.0000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.3500
how much is a jasper crystal worth,0,speaker-b23a6a8439c0dde5:9837641,0,public,78534,0,0,0,0,0,0,1,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0000
i just made 53m in 2 secs bz flipping livid fragments lol,0,speaker-b23a6a8439c0dde5:9837641,0,public,84432,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0000
anyone have basket of seeds or prismnapump ill pay extra please,0,speaker-b23a6a8439c0dde5:9837641,0,public,19560,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1.0800
omg guys i just unlocked hex and im upgrading your armor for free,1,speaker-b23a6a8439c0dde5:9837983,1,public,0,1,0,0,0,0,0,1,0.0000,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0000
i have a special offer for you,1,speaker-c49e0770766b01e1:9837991,1,pm,0,1,0,0,0,0,0,1,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0000
i give you 1b when you give me 100m first,1,speaker-c49e0770766b01e1:9837991,1,pm,36133,0,0,0,0,1,0,2,14.0000,0,1,2,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,1.1200
you can record it trust me,1,speaker-c49e0770766b01e1:9837991,1,pm,10313,0,0,1,0,0,0,2,14.0000,0,1,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1.1200
come on you can only win,1,speaker-c49e0770766b01e1:9837991,1,pm,47016,0,0,0,0,0,0,2,14.0000,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1.2000
if i scam you my account gets wiped,1,speaker-c49e0770766b01e1:9837991,1,pm,11451,0,0,0,0,0,0,2,14.0000,0,1,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1.2000
yo this is legit middleman,1,speaker-c49e0770766b01e1:9839048,1,pm,0,0,0,0,0,0,0,0,0.0000,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1.0000
go to discord and type rep pankraz,1,speaker-c49e0770766b01e1:9839048,1,pm,7,0,1,1,1,0,0,0,0.0000,0,0,2,1,1,1,1,2,1,0,0,0,0,3,0,0,0,0,1.0000
selling rare enderman p me,0,speaker-b23a6a8439c0dde5:9839080,0,unknown,0,1,0,0,0,0,0,1,0.0000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.3500
can i buy your item,0,speaker-c49e0770766b01e1:9839372,0,public,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0000
500m go to map,0,speaker-c49e0770766b01e1:9839372,0,public,45042,0,0,0,1,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0000
i wanna have it ill pay you,0,speaker-c49e0770766b01e1:9839372,0,public,6931,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0000
i got 1 6k dyes right now,0,speaker-legacy-scam-screener-training-data-csv-old-10:10000060,0,unknown,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0000
your poor lol on discord for cheap coins,1,speaker-legacy-scam-screener-training-data-csv-old-10:10000061,1,unknown,0,0,0,1,0,0,0,0,0.0000,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1.0000
want cheap coins on discord for skyblock coins accounts and more,1,speaker-legacy-scam-screener-training-data-csv-old-10:10000062,1,unknown,0,0,0,1,0,0,0,0,0.0000,0,0,2,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1.0000
on discord best macros and cheapest sb coisn,1,speaker-legacy-scam-screener-training-data-csv-old-10:10000063,1,unknown,0,0,0,1,0,0,0,0,0.0000,0,0,2,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1.0800
do not join any discord,0,speaker-legacy-scam-screener-training-data-csv-old-10:10000064,0,unknown,0,0,0,1,0,0,0,0,0.0000,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,1.4300
can i buy your item,0,speaker-c49e0770766b01e1:9839372,0,public,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0000
500m go to map,0,speaker-c49e0770766b01e1:9839372,0,public,45042,0,0,0,1,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0000
"add my discord",1,"speaker-b23a6a8439c0dde5:9839847",1,"unknown",0,0,0,1,0,0,0,0,14.0000,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.1200
"i only trade when you go to my discord server",1,"speaker-b23a6a8439c0dde5:9839847",1,"unknown",1,0,0,1,1,0,0,0,14.0000,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1.1200
"type rep me in the rep channel",1,"speaker-b23a6a8439c0dde5:9839847",1,"unknown",1,0,1,0,1,0,0,0,14.0000,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.1200
"sell flower minion t1 5m",0,"speaker-b23a6a8439c0dde5:9839880",0,"public",0,1,0,0,0,0,0,1,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0000
"wheres seraphin",0,"speaker-b23a6a8439c0dde5:9839986",0,"public",0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0000
"im 11m off from titanium fuel tank bro",0,"speaker-b23a6a8439c0dde5:9839987",0,"public",159224,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0000
"um i gotta get it first",0,"speaker-b23a6a8439c0dde5:9840020",0,"public",0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0000
"oh i guess il have to craft it",0,speaker-b23a6a8439c0dde5:9840020,0,public,1,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0000
"gimme the money ima make some profit",1,"speaker-b23a6a8439c0dde5:9841470",1,"public",0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0000
"ima make it back",1,"speaker-b23a6a8439c0dde5:9841470",1,"public",1,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0000
"trust 100",1,"speaker-b23a6a8439c0dde5:9841470",1,"public",1,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0000
"ima make 100m in an hour or so with it",1,"speaker-b23a6a8439c0dde5:9841470",1,"public",1,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1.0800
"and well be back at gambling",1,"speaker-b23a6a8439c0dde5:9841470",1,"public",1,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1.0800
"invest ur earnings",1,"speaker-b23a6a8439c0dde5:9841470",1,"public",1,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1.0800
